15,1,256.0,173.0,6.0,11.0,-1,-1,-1,-1
20,1,258.0,180.0,5.0,10.0,-1,-1,-1,-1
25,1,259.0,186.0,5.0,11.0,-1,-1,-1,-1
30,1,260.0,193.0,6.0,8.0,-1,-1,-1,-1
15,2,287.0,363.0,6.0,9.0,-1,-1,-1,-1
20,2,289.0,370.0,5.0,9.0,-1,-1,-1,-1
25,2,290.0,377.0,5.0,8.0,-1,-1,-1,-1
30,2,291.0,384.0,6.0,8.0,-1,-1,-1,-1
35,2,293.0,391.0,5.0,8.0,-1,-1,-1,-1
15,3,227.0,134.0,5.0,7.0,-1,-1,-1,-1
20,3,228.0,138.0,6.0,8.0,-1,-1,-1,-1
25,3,229.0,143.0,5.0,9.0,-1,-1,-1,-1
30,3,230.0,148.0,6.0,8.0,-1,-1,-1,-1
35,3,232.0,153.0,5.0,8.0,-1,-1,-1,-1
40,3,233.0,158.0,5.0,8.0,-1,-1,-1,-1
15,4,195.0,273.0,6.0,7.0,-1,-1,-1,-1
20,4,196.0,273.0,5.0,7.0,-1,-1,-1,-1
25,4,196.0,273.0,5.0,7.0,-1,-1,-1,-1
30,4,196.0,273.0,5.0,7.0,-1,-1,-1,-1
35,4,196.0,273.0,5.0,7.0,-1,-1,-1,-1
40,4,196.0,273.0,5.0,7.0,-1,-1,-1,-1
15,5,256.0,54.0,6.0,12.0,-1,-1,-1,-1
20,5,254.0,48.0,7.0,13.0,-1,-1,-1,-1
25,5,253.0,42.0,5.0,12.0,-1,-1,-1,-1
30,5,251.0,36.0,6.0,10.0,-1,-1,-1,-1
35,5,250.0,30.0,7.0,14.0,-1,-1,-1,-1
40,5,250.0,27.0,5.0,11.0,-1,-1,-1,-1
15,6,177.0,41.0,5.0,9.0,-1,-1,-1,-1
20,6,175.0,38.0,5.0,8.0,-1,-1,-1,-1
25,6,175.0,35.0,5.0,9.0,-1,-1,-1,-1
30,6,174.0,32.0,5.0,8.0,-1,-1,-1,-1
35,6,173.0,28.0,5.0,8.0,-1,-1,-1,-1
40,6,173.0,25.0,5.0,9.0,-1,-1,-1,-1
15,7,155.0,29.0,6.0,10.0,-1,-1,-1,-1
20,7,156.0,31.0,6.0,9.0,-1,-1,-1,-1
25,7,156.0,33.0,6.0,9.0,-1,-1,-1,-1
30,7,156.0,34.0,6.0,10.0,-1,-1,-1,-1
35,7,156.0,36.0,6.0,9.0,-1,-1,-1,-1
40,7,156.0,37.0,7.0,9.0,-1,-1,-1,-1
45,7,157.0,39.0,7.0,9.0,-1,-1,-1,-1
25,8,226.0,141.0,5.0,8.0,-1,-1,-1,-1
30,8,228.0,146.0,4.0,8.0,-1,-1,-1,-1
35,8,228.0,151.0,5.0,7.0,-1,-1,-1,-1
40,8,230.0,156.0,5.0,8.0,-1,-1,-1,-1
45,8,231.0,160.0,6.0,8.0,-1,-1,-1,-1
15,9,277.0,352.0,6.0,10.0,-1,-1,-1,-1
20,9,278.0,358.0,5.0,10.0,-1,-1,-1,-1
25,9,279.0,364.0,6.0,9.0,-1,-1,-1,-1
30,9,280.0,369.0,6.0,10.0,-1,-1,-1,-1
35,9,281.0,375.0,6.0,9.0,-1,-1,-1,-1
40,9,282.0,380.0,7.0,10.0,-1,-1,-1,-1
45,9,284.0,386.0,6.0,11.0,-1,-1,-1,-1
50,9,284.0,392.0,7.0,7.0,-1,-1,-1,-1
25,10,199.0,15.0,4.0,7.0,-1,-1,-1,-1
30,10,200.0,21.0,5.0,7.0,-1,-1,-1,-1
35,10,202.0,27.0,4.0,7.0,-1,-1,-1,-1
40,10,204.0,32.0,4.0,7.0,-1,-1,-1,-1
45,10,205.0,39.0,4.0,6.0,-1,-1,-1,-1
50,10,206.0,45.0,5.0,7.0,-1,-1,-1,-1
25,11,202.0,0.0,5.0,5.0,-1,-1,-1,-1
30,11,202.0,0.0,7.0,10.0,-1,-1,-1,-1
35,11,204.0,5.0,6.0,10.0,-1,-1,-1,-1
